hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo
HED_0012001	Modulator	0	HedTag		External stimuli / interventions or changes in the alertness level (sleep) that modify: the background activity, or how often a graphoelement is occurring, or change other features of the graphoelement (like intra-burst frequency). For each observed finding, there is an option of specifying how they are influenced by the modulators and procedures that were done during the recording.	HedTag and (inHedSchema some ScoreSchema)
HED_0012002	Sleep-modulator	1	Modulator			
HED_0012003	Sleep-deprivation	2	Sleep-modulator			
HED_0012004	Sleep-deprivation-#	3	Sleep-deprivation	takesValue, valueClass=textClass	Free text.	"Sleep-deprivation and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012005	Sleep-following-sleep-deprivation	2	Sleep-modulator			
HED_0012006	Sleep-following-sleep-deprivation-#	3	Sleep-following-sleep-deprivation	takesValue, valueClass=textClass	Free text.	"Sleep-following-sleep-deprivation and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012007	Natural-sleep	2	Sleep-modulator			
HED_0012008	Natural-sleep-#	3	Natural-sleep	takesValue, valueClass=textClass	Free text.	"Natural-sleep and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012009	Induced-sleep	2	Sleep-modulator			
HED_0012010	Induced-sleep-#	3	Induced-sleep	takesValue, valueClass=textClass	Free text.	"Induced-sleep and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012011	Drowsiness	2	Sleep-modulator			
HED_0012012	Drowsiness-#	3	Drowsiness	takesValue, valueClass=textClass	Free text.	"Drowsiness and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012013	Awakening	2	Sleep-modulator			
HED_0012014	Awakening-#	3	Awakening	takesValue, valueClass=textClass	Free text.	"Awakening and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012015	Medication-modulator	1	Modulator			
HED_0012016	Medication-administered-during-recording	2	Medication-modulator			
HED_0012017	Medication-administered-during-recording-#	3	Medication-administered-during-recording	takesValue, valueClass=textClass	Free text.	"Medication-administered-during-recording and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012018	Medication-withdrawal-or-reduction-during-recording	2	Medication-modulator			
HED_0012019	Medication-withdrawal-or-reduction-during-recording-#	3	Medication-withdrawal-or-reduction-during-recording	takesValue, valueClass=textClass	Free text.	"Medication-withdrawal-or-reduction-during-recording and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012020	Eye-modulator	1	Modulator			
HED_0012021	Manual-eye-closure	2	Eye-modulator			
HED_0012022	Manual-eye-closure-#	3	Manual-eye-closure	takesValue, valueClass=textClass	Free text.	"Manual-eye-closure and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012023	Manual-eye-opening	2	Eye-modulator			
HED_0012024	Manual-eye-opening-#	3	Manual-eye-opening	takesValue, valueClass=textClass	Free text.	"Manual-eye-opening and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012025	Stimulation-modulator	1	Modulator			
HED_0012026	Intermittent-photic-stimulation	2	Stimulation-modulator	suggestedTag=Intermittent-photic-stimulation-effect		"Stimulation-modulator and (suggestedTag value ""Intermittent-photic-stimulation-effect"")"
HED_0012027	Intermittent-photic-stimulation-#	3	Intermittent-photic-stimulation	takesValue, valueClass=numericClass, unitClass=frequencyUnits		"Intermittent-photic-stimulation and (takesValue value true) and (valueClass value ""numericClass"") and (unitClass value ""frequencyUnits"")"
HED_0012028	Auditory-stimulation	2	Stimulation-modulator			
HED_0012029	Auditory-stimulation-#	3	Auditory-stimulation	takesValue, valueClass=textClass	Free text.	"Auditory-stimulation and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012030	Nociceptive-stimulation	2	Stimulation-modulator			
HED_0012031	Nociceptive-stimulation-#	3	Nociceptive-stimulation	takesValue, valueClass=textClass	Free text.	"Nociceptive-stimulation and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012032	Hyperventilation	1	Modulator			
HED_0012033	Hyperventilation-#	2	Hyperventilation	takesValue, valueClass=textClass	Free text.	"Hyperventilation and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012034	Physical-effort	1	Modulator			
HED_0012035	Physical-effort-#	2	Physical-effort	takesValue, valueClass=textClass	Free text.	"Physical-effort and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012036	Cognitive-task	1	Modulator			
HED_0012037	Cognitive-task-#	2	Cognitive-task	takesValue, valueClass=textClass	Free text.	"Cognitive-task and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012038	Other-modulator-or-procedure	1	Modulator	requireChild		Modulator and (requireChild value true)
HED_0012039	Other-modulator-or-procedure-#	2	Other-modulator-or-procedure	takesValue, valueClass=textClass	Free text.	"Other-modulator-or-procedure and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012040	Background-activity	0	HedTag		An EEG activity representing the setting in which a given normal or abnormal pattern appears and from which such pattern is distinguished.	HedTag and (inHedSchema some ScoreSchema)
HED_0012041	Posterior-dominant-rhythm	1	Background-activity	suggestedTag=Finding-significance-to-recording, suggestedTag=Finding-frequency, suggestedTag=Finding-amplitude-asymmetry, suggestedTag=Posterior-dominant-rhythm-property	Rhythmic activity occurring during wakefulness over the posterior regions of the head, generally with maximum amplitudes over the occipital areas. Amplitude varies. Best seen with eyes closed and during physical relaxation and relative mental inactivity. Blocked or attenuated by attention, especially visual, and mental effort. In adults this is the alpha rhythm, and the frequency is 8 to 13 Hz. However the frequency can be higher or lower than this range (often a supra or sub harmonic of alpha frequency) and is called alpha variant rhythm (fast and slow alpha variant rhythm). In children, the normal range of the frequency of the posterior dominant rhythm is age-dependant.	"Background-activity and (suggestedTag value ""Finding-significance-to-recording"") and (suggestedTag value ""Finding-frequency"") and (suggestedTag value ""Finding-amplitude-asymmetry"") and (suggestedTag value ""Posterior-dominant-rhythm-property"")"
HED_0012042	Mu-rhythm	1	Background-activity	suggestedTag=Finding-frequency, suggestedTag=Finding-significance-to-recording, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors	EEG rhythm at 7-11 Hz composed of arch-shaped waves occurring over the central or centro-parietal regions of the scalp during wakefulness. Amplitudes varies but is mostly below 50 microV. Blocked or attenuated most clearly by contralateral movement, thought of movement, readiness to move or tactile stimulation.	"Background-activity and (suggestedTag value ""Finding-frequency"") and (suggestedTag value ""Finding-significance-to-recording"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"")"
HED_0012043	Other-organized-rhythm	1	Background-activity	requireChild, suggestedTag=Rhythmic-activity-morphology, suggestedTag=Finding-significance-to-recording, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Appearance-mode, suggestedTag=Discharge-pattern	EEG activity that consisting of waves of approximately constant period, which is considered as part of the background (ongoing) activity, but does not fulfill the criteria of the posterior dominant rhythm.	"Background-activity and (requireChild value true) and (suggestedTag value ""Rhythmic-activity-morphology"") and (suggestedTag value ""Finding-significance-to-recording"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Appearance-mode"") and (suggestedTag value ""Discharge-pattern"")"
HED_0012044	Other-organized-rhythm-#	2	Other-organized-rhythm	takesValue, valueClass=textClass	Free text.	"Other-organized-rhythm and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012045	Background-activity-special-feature	1	Background-activity		Special Features. Special features contains scoring options for the background activity of critically ill patients.	
HED_0012046	Continuous-background-activity	2	Background-activity-special-feature	suggestedTag=Rhythmic-activity-morphology, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-extent		"Background-activity-special-feature and (suggestedTag value ""Rhythmic-activity-morphology"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-extent"")"
HED_0012047	Nearly-continuous-background-activity	2	Background-activity-special-feature	suggestedTag=Rhythmic-activity-morphology, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-extent		"Background-activity-special-feature and (suggestedTag value ""Rhythmic-activity-morphology"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-extent"")"
HED_0012048	Discontinuous-background-activity	2	Background-activity-special-feature	suggestedTag=Rhythmic-activity-morphology, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-extent		"Background-activity-special-feature and (suggestedTag value ""Rhythmic-activity-morphology"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-extent"")"
HED_0012049	Background-burst-suppression	2	Background-activity-special-feature	suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-extent	EEG pattern consisting of bursts (activity appearing and disappearing abruptly) interrupted by periods of low amplitude (below 20 microV) and which occurs simultaneously over all head regions.	"Background-activity-special-feature and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-extent"")"
HED_0012050	Background-burst-attenuation	2	Background-activity-special-feature	suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-extent		"Background-activity-special-feature and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-extent"")"
HED_0012051	Background-activity-suppression	2	Background-activity-special-feature	suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-extent, suggestedTag=Appearance-mode	Periods showing activity under 10 microV (referential montage) and interrupting the background (ongoing) activity.	"Background-activity-special-feature and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-extent"") and (suggestedTag value ""Appearance-mode"")"
HED_0012052	Electrocerebral-inactivity	2	Background-activity-special-feature		Absence of any ongoing cortical electric activities; in all leads EEG is isoelectric or only contains artifacts. Sensitivity has to be increased up to 2 microV/mm; recording time: at least 30 minutes.	
HED_0012053	Artifact	0	HedTag		When relevant for the clinical interpretation, artifacts can be scored by specifying the type and the location.	HedTag and (inHedSchema some ScoreSchema)
HED_0012054	Biological-artifact	1	Artifact	suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Multifocal-finding, suggestedTag=Artifact-significance-to-recording	Biological artifacts involve distinct and identifiable variations in clinical recordings arising from physiological sources, potentially affecting the interpretation of the data.	"Artifact and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Multifocal-finding"") and (suggestedTag value ""Artifact-significance-to-recording"")"
HED_0012055	Eye-blink-artifact	2	Biological-artifact		Example for EEG: Fp1/Fp2 become electropositive with eye closure because the cornea is positively charged causing a negative deflection in Fp1/Fp2. If the eye blink is unilateral, consider prosthetic eye. If it is in F8 rather than Fp2 then the electrodes are plugged in wrong.	
HED_0012056	Eye-movement-horizontal-artifact	2	Biological-artifact		Example for EEG: There is an upward deflection in the Fp2-F8 derivation, when the eyes move to the right side. In this case F8 becomes more positive and therefore. When the eyes move to the left, F7 becomes more positive and there is an upward deflection in the Fp1-F7 derivation.	
